#IDA	IDB	WI2004	WI2007	BPMAPS
C07G1.6	Y18D10A.5		core	
C07G2.3	T10C6.5	core		
C07G2.3	T20B12.2		core	
C07G2.3	Y39A1A.3		core	
C07H6.1	C27D9.1			core
C07H6.5	C09F5.2			core
C07H6.5	C27A2.6			core
C07H6.5	C27F2.8	core		
C07H6.5	D1054.9	core		
C07H6.5	F07C4.5			core
C07H6.5	F14F9.4			core
C07H6.5	F46A9.4			core
C07H6.5	F52E1.7	core		
C07H6.5	R05D11.8	core	core	core
C07H6.5	T26H5.4			core
C07H6.5	W03C9.7			core
C07H6.5	W05H7.4	bad_status		core
C07H6.5	ZK1025.9			core
C07H6.7	F53F1.4			core
C07H6.7	K10D6.4			core
C07H6.7	R05D8.8			core
C08B11.2	K08F11.2			core
C08B11.7	C56G2.7	core		
C08B11.9	K02F2.2	core		
C08B6.10	R02F2.5		core	
C08B6.9	Y38E10A.19		core	
C08E3.7	F46A9.4		core	
C08E3.7	F46A9.5		core	
C08E3.9	T22F3.3		core	
C08F11.11	R05F9.10		core	
C08F8.8	C32F10.6	core		
C08F8.8	C38D4.6	core		
C08F8.8	C47E8.5	core		
C08F8.8	F49H12.3	core		
C08F8.8	H19N07.1	core		
C08F8.8	W02D3.9	core	core	
C08G5.5	Y65B4BR.4		core	
C09B8.6	C44B11.1	core		
C09B8.6	H14N18.1		core	
C09B8.6	T28A11.11	core		
C09B8.6	Y51H4A.17	core		
C09G1.1	C14C11.5	core		
C09G1.1	T05F1.4	core		
C09G1.1	T27F2.2	core		
C09G1.1	Y39B6A.11	core		
C09G1.1	ZC395.8	core		
C09G1.4	C49A1.4	core		
C09G1.4	F57A10.4		core	
C09G1.4	F57C9.4		core	
C09G1.4	K09B11.9	core	core	
C09G1.4	T11B7.4	core	core	
C09G1.4	Y57G11C.24		core	
C09G1.4	Y65B4BR.4		core	
C09G1.4	ZC8.4		core	
C09G1.4	ZK121.2		core	
C09G12.8	C48G7.3		core	
C09G12.9	CD4.4		core	
C09G12.9	F35F10.12		core	
C09G4.3	F42D1.2	core		
C09G4.3	Y73B6A.5	core		
C09G4.3	ZK1240.2	core		
C09G5.2	C14B1.5		core	
C09H10.6	F53B3.1	core		
C09H10.6	T22G5.5		core	
C09H6.2	C14A6.1		core	
C09H6.2	D1007.16		core	
C09H6.2	F15A4.11		core	
C09H6.2	T25G12.4		core	
C10E2.4	M04G12.1		core	
C10G11.5	Y41C4A.14			core
C10G11.7	F23H12.2	core		
C10G6.1	T26A5.9	core	core	
C10G8.6	C49A1.4		core	
C10G8.7	C49A1.4	core		
C11E4.6	C14F5.5			core
C11E4.6	C37A2.8		core	
C11E4.6	C50F4.1		core	
C11E4.6	R07G3.8	core	core	
C11G6.4	C33G8.6	core		
C11H1.5	ZK849.2	core		
C12D8.1	C16B8.3	core		
C12D8.1	C25F6.2	core		
C12D8.1	C27B7.4	core		
C12D8.1	D1046.1	core		
C12D8.1	F32A11.6	core		
C12D8.1	F34D10.4		core	
C12D8.1	F36A2.1	core		
C12D8.1	K07F5.11		core	
C12D8.1	T21G5.5		core	
C12D8.1	Y113G7B.23	core		
C12D8.1	Y63D3A.5	core		
C12D8.1	ZC513.6	core		
C12D8.1	ZK643.5	core		
C12D8.1	ZK849.2	core	core	
C13D9.9	W09C2.1		core	
C13F10.2	C28H8.11		core	
C13F10.2	C44F1.5		core	
C13F10.2	F22B7.13		core	
C13F10.2	T20G5.10		core	
C13F10.2	T24H7.4		core	
C13F10.2	Y37E11B.3		core	
C13F10.6	F52E1.7		core	
C13F10.7	C13F10.7		core	core
C13F10.7	T04H1.2	core		
C13F10.7	Y55B1BR.3	core		
C13F10.7	ZK632.12	core	core	
C13G3.3	C36C9.1		core	
C13G3.3	F52D2.4		core	
C13G3.3	T11B7.1		core	
C13G5.2	M163.1		core	
C14A11.7	W09C2.1		core	
C14A4.11	F09F7.5	core		
C14A4.11	T19A5.2	core		
C14A4.11	Y66D12A.9	core		
C14B1.1	R06C1.1			core
C14B1.2	R05F9.10	core		
C14B1.3	F46A9.5		core	
C14B1.4	ZK1053.5		core	
C14B1.8	R07E4.6	core		
C14B9.1	F38E11.2	core		
C14B9.1	T22A3.2		core	
C14B9.4	R119.4	core		
C14B9.6	T11B7.4	core		
C14B9.7	R06F6.12	core		
C14C10.3	EEED8.1		core	
C14C11.6	C34C6.6			core
C14C11.6	F13G3.4			core
C14C11.6	F18C5.2			core
C14C11.6	F30H5.3			core
C14C11.6	F32G8.6			core
C14C11.6	F37C12.9			core
C14C11.6	F43D9.4			core
C14C11.6	T01C1.2			core
C14C11.6	ZC410.2			core
C14C11.8	T23F1.6			core
C14E2.1	K12C11.2		core	
C14F11.4	W09H1.6	core	core	
C14F11.5	ZK892.1	core		
C14F5.5	D1037.3			core
C14F5.5	F43D9.4			core
C14F5.5	F46F6.1			core
C14F5.5	F49B2.5			core
C14F5.5	F54D5.15	core		
C14F5.5	F54D5.5			core
C14F5.5	M02A10.3			core
C14F5.5	R08E3.3			core
C14F5.5	T20F5.6			core
